swing_id,session,user,level,side,pelvis_peak_vel,pelvis_peak_time_rel_hs,wrist_peak_vel,wrist_peak_time_rel_hs
391_2,391,103,high_school,R,812.7751094115887,0.08609999999999984,1461.699939292124,0.16659999999999986
391_3,391,103,high_school,R,817.6890676166155,0.08610000000000007,1302.058032006838,0.16389999999999993
391_4,391,103,high_school,R,817.2519698468215,0.0777000000000001,1528.1554301668205,0.16110000000000002
391_5,391,103,high_school,R,852.5337920377937,0.08329999999999993,1550.0754955919856,0.16379999999999995
391_6,391,103,high_school,R,837.0132221122615,0.08889999999999998,1312.2849309626702,0.15829999999999989
391_7,391,103,high_school,R,800.5566460851412,0.08610000000000007,1618.6582864833515,0.16390000000000016
391_8,391,103,high_school,R,842.2466524796225,0.08329999999999993,1464.3789925981696,0.15829999999999989
396_1,396,74,college,R,753.2113873624654,0.14159999999999995,1259.5462596538564,0.18330000000000002
396_2,396,74,college,R,772.975823738783,0.14439999999999997,1108.3563964471628,0.1916000000000001
396_3,396,74,college,R,738.7065569612131,0.11110000000000009,1290.6820657320998,0.18340000000000012
396_4,396,74,college,R,762.9675107626405,0.10000000000000009,1239.0238805235879,0.17500000000000004
396_5,396,74,college,R,841.0359174564782,0.09999999999999987,1232.684965531141,0.1694
396_6,396,74,college,R,807.7557457130529,0.10830000000000006,1250.261696900253,0.1694
396_7,396,74,college,R,779.1627518087924,0.08609999999999984,1220.1657008506263,0.18609999999999993
396_8,396,74,college,R,747.8514838225301,0.09729999999999994,1286.250352966832,0.17500000000000004
398_1,398,221,college,L,642.0756011408859,0.4526999999999999,765.3750130044946,0.5333000000000001
398_2,398,221,college,L,639.616088001928,0.1473,1017.5497475758126,0.19169999999999998
398_3,398,221,college,L,657.6874223512108,0.33620000000000005,806.2387809313627,0.3416999999999999
398_4,398,221,college,L,640.5913406996616,0.29169999999999985,664.0183780013095,0.33609999999999984
398_5,398,221,college,L,653.8477919490514,0.3722000000000003,692.1305591377973,0.3833000000000002
398_6,398,221,college,L,640.1157324997879,0.15270000000000006,700.9829452779861,0.1721999999999999
398_7,398,221,college,L,658.624671370736,0.4304999999999999,765.1103815499825,0.43889999999999985
426_1,426,231,college,R,799.5851322533267,0.10830000000000006,1255.6398072191005,0.1583000000000001
